DAP,AESI,Month in 2020,Person years,IR narrow,LL narrow,UL narrow
TEST,MYOCARD_narrow,January,0,0,0,1695.14
TEST,MYOCARD_narrow,February,0,0,0,1825.89
TEST,MYOCARD_narrow,March,0,0,0,1721.08
TEST,MYOCARD_narrow,April,0,0,0,1790.92
TEST,MYOCARD_narrow,May,0,0,0,1747.82
TEST,MYOCARD_narrow,June,1,493.98,12.51,2752.29
TEST,MYOCARD_narrow,July,0,0,0,1775.88
TEST,MYOCARD_narrow,August,0,0,0,1794.31
TEST,MYOCARD_narrow,September,0,0,0,1874.46
TEST,MYOCARD_narrow,October,0,0,0,1833.6
TEST,MYOCARD_narrow,November,0,0,0,1921.62
TEST,MYOCARD_narrow,December,0,0,0,1895.53
TEST,PERICARD_narrow,January,0,0,0,1695.14
TEST,PERICARD_narrow,February,0,0,0,1825.89
TEST,PERICARD_narrow,March,0,0,0,1721.08
TEST,PERICARD_narrow,April,0,0,0,1790.92
TEST,PERICARD_narrow,May,0,0,0,1747.82
TEST,PERICARD_narrow,June,1,493.98,12.51,2752.29
TEST,PERICARD_narrow,July,0,0,0,1775.88
TEST,PERICARD_narrow,August,0,0,0,1794.31
TEST,PERICARD_narrow,September,0,0,0,1874.46
TEST,PERICARD_narrow,October,0,0,0,1833.6
TEST,PERICARD_narrow,November,0,0,0,1921.62
TEST,PERICARD_narrow,December,0,0,0,1895.53
TEST,MIS_KD_narrow,January,0,0,0,1693.82
TEST,MIS_KD_narrow,February,0,0,0,1824.46
TEST,MIS_KD_narrow,March,0,0,0,1719.72
TEST,MIS_KD_narrow,April,0,0,0,1789.49
TEST,MIS_KD_narrow,May,0,0,0,1746.42
TEST,MIS_KD_narrow,June,0,0,0,1820.42
TEST,MIS_KD_narrow,July,0,0,0,1773.71
TEST,MIS_KD_narrow,August,0,0,0,1792.09
TEST,MIS_KD_narrow,September,0,0,0,1872.12
TEST,MIS_KD_narrow,October,0,0,0,1831.28
TEST,MIS_KD_narrow,November,0,0,0,1919.16
TEST,MIS_KD_narrow,December,0,0,0,1893.06
