sex,ageband_at_study_entry,Dose,type_vax,Period,ADEM_broad_b,ACUASEARTHRITIS_broad_b,DM1_narrow_b,DM1_broad_b,HF_narrow_b,HF_broad_b,CAD_narrow_b,CAD_broad_b,ARR_narrow_b,ARR_broad_b,MYOCARD_narrow_b,MYOCARD_broad_b,PERICARD_narrow_b,PERICARD_broad_b,AKI_narrow_b,AKI_broad_b,MENINGOENC_narrow_b,MENINGOENC_broad_b,ARD_narrow_b,ARD_broad_b,CHILBLAIN_narrow_b,CHILBLAIN_broad_b,MISCC_narrow_b,MISCC_broad_b,MIS_broad_b,Hemostroke_narrow_b,Hemostroke_broad_b,Ischstroke_narrow_b,Ischstroke_broad_b,VTE_narrow_b,VTE_broad_b,CONTRDIVERTIC_b,CONTRHYPERT_b,MIS_KD_narrow_b,MIS_KD_broad_b,DEATH_b,ArterialNoTP_b,VTENoTP_b,ArterialVTENoTP_b,GENCONV_narrow_b,GENCONV_broad_b,ANAPHYL_broad_b,IR_ADEM_broad,lb_ADEM_broad,ub_ADEM_broad,IR_ACUASEARTHRITIS_broad,lb_ACUASEARTHRITIS_broad,ub_ACUASEARTHRITIS_broad,IR_DM1_narrow,lb_DM1_narrow,ub_DM1_narrow,IR_DM1_broad,lb_DM1_broad,ub_DM1_broad,IR_HF_narrow,lb_HF_narrow,ub_HF_narrow,IR_HF_broad,lb_HF_broad,ub_HF_broad,IR_CAD_narrow,lb_CAD_narrow,ub_CAD_narrow,IR_CAD_broad,lb_CAD_broad,ub_CAD_broad,IR_ARR_narrow,lb_ARR_narrow,ub_ARR_narrow,IR_ARR_broad,lb_ARR_broad,ub_ARR_broad,IR_MYOCARD_narrow,lb_MYOCARD_narrow,ub_MYOCARD_narrow,IR_MYOCARD_broad,lb_MYOCARD_broad,ub_MYOCARD_broad,IR_PERICARD_narrow,lb_PERICARD_narrow,ub_PERICARD_narrow,IR_PERICARD_broad,lb_PERICARD_broad,ub_PERICARD_broad,IR_AKI_narrow,lb_AKI_narrow,ub_AKI_narrow,IR_AKI_broad,lb_AKI_broad,ub_AKI_broad,IR_GENCONV_narrow,lb_GENCONV_narrow,ub_GENCONV_narrow,IR_GENCONV_broad,lb_GENCONV_broad,ub_GENCONV_broad,IR_MENINGOENC_narrow,lb_MENINGOENC_narrow,ub_MENINGOENC_narrow,IR_MENINGOENC_broad,lb_MENINGOENC_broad,ub_MENINGOENC_broad,IR_ARD_narrow,lb_ARD_narrow,ub_ARD_narrow,IR_ARD_broad,lb_ARD_broad,ub_ARD_broad,IR_CHILBLAIN_narrow,lb_CHILBLAIN_narrow,ub_CHILBLAIN_narrow,IR_CHILBLAIN_broad,lb_CHILBLAIN_broad,ub_CHILBLAIN_broad,IR_ANAPHYL_broad,lb_ANAPHYL_broad,ub_ANAPHYL_broad,IR_MISCC_narrow,lb_MISCC_narrow,ub_MISCC_narrow,IR_MISCC_broad,lb_MISCC_broad,ub_MISCC_broad,IR_MIS_broad,lb_MIS_broad,ub_MIS_broad,IR_Hemostroke_narrow,lb_Hemostroke_narrow,ub_Hemostroke_narrow,IR_Hemostroke_broad,lb_Hemostroke_broad,ub_Hemostroke_broad,IR_Ischstroke_narrow,lb_Ischstroke_narrow,ub_Ischstroke_narrow,IR_Ischstroke_broad,lb_Ischstroke_broad,ub_Ischstroke_broad,IR_VTE_narrow,lb_VTE_narrow,ub_VTE_narrow,IR_VTE_broad,lb_VTE_broad,ub_VTE_broad,IR_CONTRDIVERTIC,lb_CONTRDIVERTIC,ub_CONTRDIVERTIC,IR_CONTRHYPERT,lb_CONTRHYPERT,ub_CONTRHYPERT,IR_MIS_KD_narrow,lb_MIS_KD_narrow,ub_MIS_KD_narrow,IR_MIS_KD_broad,lb_MIS_KD_broad,ub_MIS_KD_broad,IR_DEATH,lb_DEATH,ub_DEATH,IR_ArterialNoTP,lb_ArterialNoTP,ub_ArterialNoTP,IR_VTENoTP,lb_VTENoTP,ub_VTENoTP,IR_ArterialVTENoTP,lb_ArterialVTENoTP,ub_ArterialVTENoTP
0,0-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,9203.93,0,0,9203.93,0,0,9203.93,0,0,9203.93,0,0,9203.93,0,0,9203.93,0,0,9203.93,0,0,9203.93,0,0,9203.93,0,0,9203.93,0,0,9203.93,0,0,9203.93,0,0,9203.93,0,0,9203.93,0,0,9203.93,0,0,9203.93,2500.17,63.3,13930.06,2500.17,63.3,13930.06,0,0,9203.93,0,0,9203.93,0,0,9203.93,0,0,9203.93,0,0,9203.93,0,0,9203.93,0,0,9203.93,0,0,9203.93,0,0,9203.93,0,0,9203.93,0,0,9203.93,0,0,9203.93,0,0,9203.93,0,0,9203.93,0,0,9203.93,0,0,9203.93,0,0,9203.93,0,0,9203.93,0,0,9203.93,0,0,9203.93,0,0,9203.93,0,0,9203.93,0,0,9203.93,0,0,9203.93
0,12-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6085.1,0,0,6085.1,0,0,6085.1,0,0,6085.1,0,0,6085.1,0,0,6085.1,0,0,6085.1,0,0,6085.1,0,0,6085.1,0,0,6085.1,0,0,6085.1,0,0,6085.1,0,0,6085.1,0,0,6085.1,0,0,6085.1,0,0,6085.1,0,0,6085.1,0,0,6085.1,0,0,6085.1,0,0,6085.1,0,0,6085.1,0,0,6085.1,0,0,6085.1,0,0,6085.1,0,0,6085.1,0,0,6085.1,0,0,6085.1,0,0,6085.1,0,0,6085.1,0,0,6085.1,0,0,6085.1,0,0,6085.1,0,0,6085.1,0,0,6085.1,0,0,6085.1,0,0,6085.1,0,0,6085.1,0,0,6085.1,0,0,6085.1,0,0,6085.1,0,0,6085.1,0,0,6085.1
0,18-24,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5988.81,0,0,5988.81,0,0,5988.81,0,0,5988.81,0,0,5988.81,0,0,5988.81,0,0,5988.81,0,0,5988.81,1647.57,41.71,9179.68,1647.57,41.71,9179.68,0,0,5988.81,0,0,5988.81,0,0,5988.81,0,0,5988.81,0,0,5988.81,0,0,5988.81,0,0,5988.81,0,0,5988.81,0,0,5988.81,0,0,5988.81,0,0,5988.81,0,0,5988.81,0,0,5988.81,0,0,5988.81,0,0,5988.81,0,0,5988.81,0,0,5988.81,0,0,5988.81,0,0,5988.81,0,0,5988.81,0,0,5988.81,0,0,5988.81,0,0,5988.81,0,0,5988.81,0,0,5988.81,0,0,5988.81,0,0,5988.81,0,0,5988.81,0,0,5988.81,0,0,5988.81,0,0,5988.81,0,0,5988.81
0,25-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5295.61,0,0,5295.61,0,0,5295.61,0,0,5295.61,0,0,5295.61,0,0,5295.61,0,0,5295.61,0,0,5295.61,0,0,5295.61,0,0,5295.61,0,0,5295.61,0,0,5295.61,0,0,5295.61,0,0,5295.61,0,0,5295.61,0,0,5295.61,0,0,5295.61,0,0,5295.61,0,0,5295.61,0,0,5295.61,0,0,5295.61,0,0,5295.61,0,0,5295.61,0,0,5295.61,0,0,5295.61,0,0,5295.61,0,0,5295.61,0,0,5295.61,0,0,5295.61,0,0,5295.61,0,0,5295.61,0,0,5295.61,0,0,5295.61,0,0,5295.61,0,0,5295.61,1441.68,36.5,8032.54,0,0,5295.61,0,0,5295.61,0,0,5295.61,0,0,5295.61,0,0,5295.61,0,0,5295.61
0,30-39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,2752.7,0,0,2752.7,0,0,2752.7,0,0,2752.7,0,0,2752.7,0,0,2752.7,0,0,2752.7,0,0,2752.7,0,0,2752.7,0,0,2752.7,0,0,2752.7,0,0,2752.7,0,0,2752.7,0,0,2752.7,0,0,2752.7,0,0,2752.7,0,0,2752.7,0,0,2752.7,0,0,2752.7,0,0,2752.7,0,0,2752.7,0,0,2752.7,0,0,2752.7,0,0,2752.7,0,0,2752.7,0,0,2752.7,0,0,2752.7,0,0,2752.7,0,0,2752.7,0,0,2752.7,0,0,2752.7,0,0,2752.7,748.48,18.95,4170.26,748.48,18.95,4170.26,0,0,2752.7,749.12,18.97,4173.85,0,0,2752.7,0,0,2752.7,0,0,2752.7,0,0,2752.7,748.48,18.95,4170.26,748.48,18.95,4170.26
0,40-49,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,1972.89,0,0,1972.89,0,0,1972.89,0,0,1994.26,0,0,1972.89,0,0,1972.89,0,0,1972.89,537.13,13.6,2992.71,0,0,1972.89,0,0,1972.89,0,0,1972.89,0,0,1972.89,0,0,1972.89,0,0,1972.89,0,0,1972.89,0,0,1983.52,535.06,13.55,2981.14,535.06,13.55,2981.14,0,0,1972.89,0,0,1972.89,0,0,1972.89,0,0,1972.89,0,0,1972.89,0,0,1972.89,0,0,1972.89,0,0,1972.89,0,0,1972.89,0,0,1972.89,0,0,1972.89,0,0,1972.89,0,0,1972.89,0,0,1972.89,0,0,1972.89,0,0,1972.89,0,0,1972.89,1691.26,348.78,4942.58,0,0,1972.89,0,0,1972.89,0,0,1972.89,0,0,1972.89,0,0,1972.89,0,0,1972.89
0,5-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6172.07,0,0,6172.07,0,0,6172.07,0,0,6172.07,0,0,6172.07,0,0,6172.07,0,0,6172.07,0,0,6172.07,0,0,6172.07,0,0,6172.07,0,0,6172.07,0,0,6172.07,0,0,6172.07,0,0,6172.07,0,0,6172.07,0,0,6172.07,0,0,6172.07,0,0,6172.07,0,0,6172.07,0,0,6172.07,0,0,6172.07,0,0,6172.07,0,0,6172.07,0,0,6172.07,0,0,6172.07,0,0,6172.07,0,0,6172.07,0,0,6172.07,0,0,6172.07,0,0,6172.07,0,0,6172.07,0,0,6172.07,0,0,6172.07,0,0,6172.07,0,0,6172.07,0,0,6172.07,0,0,6172.07,0,0,6172.07,0,0,6172.07,0,0,6172.07,0,0,6172.07,0,0,6172.07
0,50-59,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,15,0,0,0,1,0,1,0,0,0,0,0,1744.9,0,0,1744.9,0,0,1744.9,474.91,12.02,2646.01,0,0,1744.9,0,0,1744.9,0,0,1753.21,0,0,1753.21,475.52,12.04,2649.42,475.52,12.04,2649.42,0,0,1744.9,0,0,1744.9,0,0,1744.9,0,0,1744.9,0,0,1744.9,0,0,1744.9,0,0,1744.9,0,0,1744.9,0,0,1744.9,0,0,1744.9,0,0,1744.9,0,0,1744.9,0,0,1744.9,0,0,1744.9,0,0,1744.9,0,0,1744.9,0,0,1744.9,0,0,1744.9,0,0,1744.9,0,0,1744.9,475.05,12.03,2646.83,477.33,12.08,2659.49,0,0,1744.9,0,0,1744.9,0,0,1744.9,8186.89,4582.14,13503.03,0,0,1744.9,0,0,1744.9,0,0,1744.9,477.33,12.08,2659.49,0,0,1744.9,477.33,12.08,2659.49
0,60-69,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,2014.06,0,0,2014.06,0,0,2014.06,0,0,2025.14,0,0,2014.06,0,0,2014.06,0,0,2014.06,0,0,2014.06,1094.74,132.58,3954.59,1094.74,132.58,3954.59,0,0,2014.06,0,0,2014.06,0,0,2014.06,0,0,2014.06,0,0,2014.06,0,0,2025.14,0,0,2014.06,0,0,2014.06,0,0,2014.06,0,0,2014.06,0,0,2014.06,0,0,2014.06,0,0,2014.06,0,0,2014.06,0,0,2014.06,0,0,2014.06,0,0,2014.06,0,0,2014.06,546.7,13.84,3046.02,546.7,13.84,3046.02,0,0,2014.06,0,0,2014.06,0,0,2025.14,0,0,2025.14,0,0,2014.06,11577.51,6744.33,18536.71,0,0,2014.06,0,0,2014.06,0,0,2014.06,0,0,2014.06,0,0,2025.14,0,0,2025.14
0,70-79,0,0,0,0,1,0,2,1,1,2,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,2,0,18,0,1,2,3,2,5,0,0,0,0,0,2745.91,752.18,19.04,4190.87,0,0,2745.91,1507.96,182.62,5447.26,746.12,18.89,4157.14,751.74,19.03,4188.45,1497.85,181.4,5410.74,1509.17,182.77,5451.65,3123.33,851,7996.96,3123.33,851,7996.96,0,0,2745.91,0,0,2745.91,0,0,2745.91,0,0,2745.91,0,0,2745.91,0,0,2753.2,0,0,2745.91,0,0,2745.91,0,0,2745.91,0,0,2745.91,0,0,2745.91,0,0,2745.91,0,0,2745.91,0,0,2745.91,0,0,2745.91,0,0,2745.91,0,0,2745.91,744.39,18.85,4147.48,0,0,2745.91,0,0,2745.91,757.2,19.17,4218.84,757.2,19.17,4218.84,1496.71,181.26,5406.64,1496.71,181.26,5406.64,0,0,2745.91,25679.63,15219.38,40584.89,0,0,2745.91,744.39,18.85,4147.48,1488.75,180.29,5377.88,2285.72,471.37,6679.84,1496.71,181.26,5406.64,3830.38,1243.71,8938.84
