DAP,AESI,Month in 2020,Person years,IR narrow,LL narrow,UL narrow
TEST,MYOCARD_narrow,January,0,0,0,556.13
TEST,MYOCARD_narrow,February,1,161.7,4.09,900.95
TEST,MYOCARD_narrow,March,0,0,0,559.41
TEST,MYOCARD_narrow,April,0,0,0,580.22
TEST,MYOCARD_narrow,May,0,0,0,563.5
TEST,MYOCARD_narrow,June,0,0,0,584.57
TEST,MYOCARD_narrow,July,0,0,0,567.41
TEST,MYOCARD_narrow,August,0,0,0,569.13
TEST,MYOCARD_narrow,September,0,0,0,590.24
TEST,MYOCARD_narrow,October,0,0,0,573.59
TEST,MYOCARD_narrow,November,0,0,0,596.01
TEST,MYOCARD_narrow,December,0,0,0,582.11
TEST,PERICARD_narrow,January,0,0,0,556.13
TEST,PERICARD_narrow,February,1,161.7,4.09,900.95
TEST,PERICARD_narrow,March,0,0,0,559.41
TEST,PERICARD_narrow,April,0,0,0,580.22
TEST,PERICARD_narrow,May,0,0,0,563.5
TEST,PERICARD_narrow,June,0,0,0,584.57
TEST,PERICARD_narrow,July,0,0,0,567.41
TEST,PERICARD_narrow,August,0,0,0,569.13
TEST,PERICARD_narrow,September,0,0,0,590.24
TEST,PERICARD_narrow,October,0,0,0,573.59
TEST,PERICARD_narrow,November,0,0,0,596.01
TEST,PERICARD_narrow,December,0,0,0,582.11
TEST,MIS_KD_narrow,January,0,0,0,555.92
TEST,MIS_KD_narrow,February,0,0,0,596.22
TEST,MIS_KD_narrow,March,0,0,0,559.13
TEST,MIS_KD_narrow,April,0,0,0,579.92
TEST,MIS_KD_narrow,May,0,0,0,563.21
TEST,MIS_KD_narrow,June,0,0,0,584.27
TEST,MIS_KD_narrow,July,0,0,0,567.11
TEST,MIS_KD_narrow,August,0,0,0,568.83
TEST,MIS_KD_narrow,September,0,0,0,589.93
TEST,MIS_KD_narrow,October,0,0,0,573.29
TEST,MIS_KD_narrow,November,0,0,0,595.7
TEST,MIS_KD_narrow,December,0,0,0,581.8
