sex,ageband_at_study_entry,Dose,type_vax,Period,GBS_narrow_b,GBS_broad_b,ADEM_broad_b,ACUASEARTHRITIS_broad_b,DM1_narrow_b,DM1_broad_b,HF_narrow_b,HF_broad_b,CAD_narrow_b,CAD_broad_b,ARR_narrow_b,ARR_broad_b,MYOCARD_narrow_b,MYOCARD_broad_b,PERICARD_narrow_b,PERICARD_broad_b,ALI_narrow_b,ALI_broad_b,AKI_narrow_b,AKI_broad_b,MENINGOENC_broad_b,ARD_narrow_b,ARD_broad_b,MISCC_narrow_b,MISCC_broad_b,MIS_broad_b,Hemostroke_narrow_b,Hemostroke_broad_b,Ischstroke_narrow_b,Ischstroke_broad_b,Sinusthrom_narrow_b,Sinusthrom_broad_b,VTE_narrow_b,VTE_broad_b,TP_narrow_b,TP_broad_b,BP_narrow_b,BP_broad_b,CONTRDIVERTIC_b,CONTRHYPERT_b,MIS_KD_narrow_b,MIS_KD_broad_b,DEATH_b,ArterialNoTP_b,VTENoTP_b,ArterialVTENoTP_b,CVSTNoTP_b,GENCONV_narrow_b,GENCONV_broad_b,ANAPHYL_narrow_b,ANAPHYL_broad_b,IR_GBS_narrow,lb_GBS_narrow,ub_GBS_narrow,IR_GBS_broad,lb_GBS_broad,ub_GBS_broad,IR_ADEM_broad,lb_ADEM_broad,ub_ADEM_broad,IR_ACUASEARTHRITIS_broad,lb_ACUASEARTHRITIS_broad,ub_ACUASEARTHRITIS_broad,IR_DM1_narrow,lb_DM1_narrow,ub_DM1_narrow,IR_DM1_broad,lb_DM1_broad,ub_DM1_broad,IR_HF_narrow,lb_HF_narrow,ub_HF_narrow,IR_HF_broad,lb_HF_broad,ub_HF_broad,IR_CAD_narrow,lb_CAD_narrow,ub_CAD_narrow,IR_CAD_broad,lb_CAD_broad,ub_CAD_broad,IR_ARR_narrow,lb_ARR_narrow,ub_ARR_narrow,IR_ARR_broad,lb_ARR_broad,ub_ARR_broad,IR_MYOCARD_narrow,lb_MYOCARD_narrow,ub_MYOCARD_narrow,IR_MYOCARD_broad,lb_MYOCARD_broad,ub_MYOCARD_broad,IR_PERICARD_narrow,lb_PERICARD_narrow,ub_PERICARD_narrow,IR_PERICARD_broad,lb_PERICARD_broad,ub_PERICARD_broad,IR_ALI_narrow,lb_ALI_narrow,ub_ALI_narrow,IR_ALI_broad,lb_ALI_broad,ub_ALI_broad,IR_AKI_narrow,lb_AKI_narrow,ub_AKI_narrow,IR_AKI_broad,lb_AKI_broad,ub_AKI_broad,IR_GENCONV_narrow,lb_GENCONV_narrow,ub_GENCONV_narrow,IR_GENCONV_broad,lb_GENCONV_broad,ub_GENCONV_broad,IR_MENINGOENC_broad,lb_MENINGOENC_broad,ub_MENINGOENC_broad,IR_ARD_narrow,lb_ARD_narrow,ub_ARD_narrow,IR_ARD_broad,lb_ARD_broad,ub_ARD_broad,IR_ANAPHYL_narrow,lb_ANAPHYL_narrow,ub_ANAPHYL_narrow,IR_ANAPHYL_broad,lb_ANAPHYL_broad,ub_ANAPHYL_broad,IR_MISCC_narrow,lb_MISCC_narrow,ub_MISCC_narrow,IR_MISCC_broad,lb_MISCC_broad,ub_MISCC_broad,IR_MIS_broad,lb_MIS_broad,ub_MIS_broad,IR_Hemostroke_narrow,lb_Hemostroke_narrow,ub_Hemostroke_narrow,IR_Hemostroke_broad,lb_Hemostroke_broad,ub_Hemostroke_broad,IR_Ischstroke_narrow,lb_Ischstroke_narrow,ub_Ischstroke_narrow,IR_Ischstroke_broad,lb_Ischstroke_broad,ub_Ischstroke_broad,IR_Sinusthrom_narrow,lb_Sinusthrom_narrow,ub_Sinusthrom_narrow,IR_Sinusthrom_broad,lb_Sinusthrom_broad,ub_Sinusthrom_broad,IR_VTE_narrow,lb_VTE_narrow,ub_VTE_narrow,IR_VTE_broad,lb_VTE_broad,ub_VTE_broad,IR_TP_narrow,lb_TP_narrow,ub_TP_narrow,IR_TP_broad,lb_TP_broad,ub_TP_broad,IR_BP_narrow,lb_BP_narrow,ub_BP_narrow,IR_BP_broad,lb_BP_broad,ub_BP_broad,IR_CONTRDIVERTIC,lb_CONTRDIVERTIC,ub_CONTRDIVERTIC,IR_CONTRHYPERT,lb_CONTRHYPERT,ub_CONTRHYPERT,IR_MIS_KD_narrow,lb_MIS_KD_narrow,ub_MIS_KD_narrow,IR_MIS_KD_broad,lb_MIS_KD_broad,ub_MIS_KD_broad,IR_DEATH,lb_DEATH,ub_DEATH,IR_ArterialNoTP,lb_ArterialNoTP,ub_ArterialNoTP,IR_VTENoTP,lb_VTENoTP,ub_VTENoTP,IR_ArterialVTENoTP,lb_ArterialVTENoTP,ub_ArterialVTENoTP,IR_CVSTNoTP,lb_CVSTNoTP,ub_CVSTNoTP
0,0-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2881.94,0,0,2881.94,0,0,2881.94,0,0,2881.94,0,0,2881.94,0,0,2881.94,0,0,2881.94,0,0,2881.94,0,0,2881.94,0,0,2881.94,0,0,2881.94,0,0,2881.94,0,0,2881.94,0,0,2881.94,0,0,2881.94,0,0,2881.94,0,0,2881.94,0,0,2881.94,0,0,2881.94,0,0,2904.68,0,0,2881.94,0,0,2881.94,0,0,2881.94,0,0,2881.94,0,0,2881.94,781.75,19.79,4355.64,781.75,19.79,4355.64,0,0,2881.94,0,0,2881.94,0,0,2881.94,0,0,2881.94,0,0,2881.94,0,0,2881.94,0,0,2881.94,0,0,2881.94,0,0,2881.94,0,0,2881.94,0,0,2881.94,0,0,2881.94,0,0,2881.94,0,0,2881.94,0,0,2881.94,0,0,2881.94,0,0,2881.94,0,0,2881.94,0,0,2881.94,0,0,2881.94,0,0,2881.94,0,0,2881.94,0,0,2881.94,0,0,2881.94
0,12-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1958.23,0,0,1958.23,0,0,1958.23,0,0,1958.23,0,0,1958.23,0,0,1958.23,0,0,1958.23,0,0,1958.23,0,0,1958.23,0,0,1958.23,0,0,1958.23,0,0,1958.23,0,0,1958.23,0,0,1958.23,0,0,1958.23,0,0,1958.23,0,0,1958.23,0,0,1958.23,0,0,1958.23,0,0,1958.23,0,0,1958.23,0,0,1958.23,0,0,1958.23,0,0,1958.23,0,0,1958.23,0,0,1958.23,0,0,1958.23,0,0,1958.23,0,0,1958.23,0,0,1958.23,0,0,1958.23,0,0,1958.23,0,0,1958.23,0,0,1958.23,0,0,1958.23,0,0,1958.23,0,0,1958.23,0,0,1958.23,0,0,1958.23,0,0,1958.23,0,0,1958.23,0,0,1958.23,0,0,1958.23,0,0,1958.23,0,0,1958.23,0,0,1958.23,0,0,1958.23,0,0,1958.23,0,0,1958.23,0,0,1958.23,0,0,1958.23
0,18-24,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1782.39,0,0,1782.39,0,0,1782.39,0,0,1782.39,0,0,1782.39,0,0,1782.39,0,0,1782.39,0,0,1782.39,0,0,1782.39,0,0,1782.39,485.29,12.29,2703.87,485.29,12.29,2703.87,0,0,1782.39,0,0,1782.39,0,0,1782.39,0,0,1782.39,0,0,1782.39,0,0,1782.39,0,0,1782.39,0,0,1782.39,0,0,1782.39,0,0,1782.39,0,0,1782.39,0,0,1782.39,0,0,1782.39,0,0,1782.39,0,0,1782.39,0,0,1782.39,0,0,1782.39,0,0,1782.39,0,0,1782.39,0,0,1782.39,0,0,1782.39,0,0,1782.39,0,0,1782.39,0,0,1782.39,0,0,1782.39,0,0,1782.39,0,0,1782.39,0,0,1782.39,0,0,1782.39,0,0,1782.39,0,0,1782.39,0,0,1782.39,0,0,1782.39,0,0,1782.39,0,0,1782.39,0,0,1782.39,0,0,1782.39,0,0,1782.39,0,0,1782.39
0,25-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1970.92,0,0,1970.92,0,0,1970.92,0,0,1970.92,0,0,1970.92,0,0,1970.92,0,0,1970.92,0,0,1970.92,0,0,1970.92,0,0,1970.92,0,0,1970.92,0,0,1970.92,0,0,1970.92,0,0,1970.92,0,0,1970.92,0,0,1970.92,0,0,1970.92,0,0,1970.92,0,0,1970.92,0,0,1976.45,0,0,1970.92,0,0,1970.92,0,0,1970.92,0,0,1970.92,0,0,1970.92,0,0,1970.92,0,0,1970.92,0,0,1970.92,0,0,1970.92,0,0,1970.92,0,0,1970.92,0,0,1970.92,0,0,1970.92,0,0,1970.92,0,0,1970.92,0,0,1970.92,0,0,1970.92,0,0,1970.92,0,0,1970.92,0,0,1970.92,0,0,1970.92,0,0,1970.92,0,0,1970.92,1070.85,129.68,3868.27,0,0,1970.92,0,0,1970.92,0,0,1970.92,0,0,1970.92,0,0,1970.92,0,0,1970.92,0,0,1970.92
0,30-39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,905.29,0,0,905.29,0,0,905.29,0,0,905.29,0,0,905.29,0,0,905.29,0,0,905.29,0,0,905.29,0,0,905.29,0,0,905.29,0,0,905.29,0,0,905.29,0,0,905.29,0,0,905.29,0,0,905.29,0,0,905.29,0,0,905.29,0,0,905.29,0,0,905.29,0,0,905.29,0,0,905.29,0,0,905.29,0,0,905.29,0,0,905.29,245.85,6.22,1369.79,0,0,905.29,0,0,905.29,0,0,905.29,0,0,905.29,0,0,905.29,0,0,905.29,0,0,905.29,0,0,905.29,0,0,905.29,0,0,905.29,0,0,905.29,0,0,905.29,0,0,905.29,0,0,905.29,0,0,905.29,0,0,905.29,0,0,905.29,0,0,905.29,991.5,270.15,2538.63,0,0,905.29,0,0,905.29,0,0,905.29,0,0,905.29,0,0,905.29,0,0,905.29,0,0,905.29
0,40-49,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,19,0,0,1,1,0,1,0,2,2,0,0,0,0,584.73,0,0,584.73,158.55,4.01,883.37,0,0,584.73,0,0,584.73,159.23,4.03,887.15,0,0,584.73,0,0,584.73,0,0,584.73,158.72,4.02,884.31,0,0,585.66,0,0,585.66,0,0,584.73,0,0,584.73,0,0,584.73,0,0,584.73,158.53,4.01,883.25,158.53,4.01,883.25,0,0,584.73,0,0,585.66,317.11,38.4,1145.5,317.11,38.4,1145.5,158.55,4.01,883.37,0,0,584.73,158.53,4.01,883.25,0,0,584.73,0,0,584.73,0,0,584.73,0,0,584.73,0,0,584.73,0,0,584.73,0,0,584.73,158.64,4.02,883.88,158.64,4.02,883.88,0,0,585.66,0,0,585.66,0,0,584.73,0,0,584.73,0,0,584.73,0,0,584.73,0,0,584.73,0,0,584.73,0,0,584.73,3153.5,1898.61,4924.58,0,0,584.73,0,0,584.73,158.51,4.01,883.18,158.64,4.02,883.88,0,0,584.73,158.64,4.02,883.88,0,0,585.66
0,5-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1754.74,0,0,1754.74,0,0,1754.74,0,0,1754.74,0,0,1754.74,0,0,1754.74,0,0,1754.74,0,0,1754.74,0,0,1754.74,0,0,1754.74,0,0,1754.74,0,0,1754.74,0,0,1754.74,0,0,1754.74,0,0,1754.74,0,0,1754.74,0,0,1754.74,0,0,1754.74,0,0,1754.74,0,0,1754.74,475.87,12.05,2651.38,475.87,12.05,2651.38,0,0,1754.74,0,0,1754.74,0,0,1754.74,0,0,1754.74,0,0,1754.74,0,0,1754.74,0,0,1754.74,0,0,1754.74,0,0,1754.74,0,0,1754.74,0,0,1754.74,0,0,1754.74,0,0,1754.74,0,0,1754.74,0,0,1754.74,0,0,1754.74,0,0,1754.74,0,0,1754.74,0,0,1754.74,0,0,1754.74,0,0,1754.74,0,0,1754.74,0,0,1754.74,0,0,1754.74,0,0,1754.74,0,0,1754.74,0,0,1754.74,0,0,1754.74,0,0,1754.74
0,50-59,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,1,0,0,0,0,0,0,0,0,0,0,570.59,0,0,570.59,0,0,570.59,0,0,570.59,0,0,570.59,155.12,3.93,864.27,0,0,571.47,154.95,3.92,863.33,0,0,571.47,0,0,573.25,155.06,3.93,863.96,155.06,3.93,863.96,0,0,570.59,0,0,570.59,0,0,570.59,0,0,570.59,0,0,570.59,0,0,570.59,0,0,572.36,0,0,572.36,0,0,570.59,0,0,570.59,0,0,570.59,0,0,570.59,0,0,570.59,0,0,570.59,0,0,570.59,0,0,570.59,0,0,570.59,0,0,570.59,0,0,571.47,0,0,571.47,0,0,571.47,0,0,571.47,0,0,570.59,0,0,570.59,0,0,570.59,0,0,570.59,0,0,570.59,0,0,570.59,0,0,570.59,0,0,570.59,0,0,570.59,6941.44,4959.07,9452.27,0,0,570.59,0,0,570.59,154.68,3.92,861.81,0,0,572.36,0,0,570.59,0,0,572.36,0,0,570.59
0,60-69,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,42,0,0,2,0,0,0,0,0,0,0,0,0,0,746.13,0,0,746.13,0,0,746.13,0,0,746.13,0,0,746.13,203.9,5.16,1136.04,0,0,746.13,203.21,5.14,1132.21,0,0,746.13,0,0,749.16,202.97,5.14,1130.87,202.97,5.14,1130.87,0,0,746.13,0,0,746.13,0,0,746.13,0,0,746.13,0,0,746.13,0,0,746.13,0,0,747.64,0,0,749.16,0,0,746.13,0,0,746.13,0,0,746.13,0,0,746.13,0,0,746.13,0,0,746.13,0,0,746.13,0,0,746.13,0,0,746.13,0,0,746.13,405.21,49.07,1463.76,405.21,49.07,1463.76,0,0,746.13,0,0,746.13,0,0,746.13,0,0,746.13,0,0,746.13,0,0,746.13,0,0,747.64,0,0,747.64,0,0,746.13,0,0,746.13,0,0,746.13,11090.11,7992.77,14990.6,0,0,746.13,0,0,746.13,404.53,48.99,1461.29,0,0,746.13,0,0,746.13,0,0,746.13,0,0,746.13
0,70-79,0,0,0,0,0,0,1,0,5,3,5,4,6,3,3,1,1,1,1,0,0,1,1,0,0,1,0,0,1,2,2,1,1,0,0,2,2,0,0,1,1,0,52,0,1,3,5,2,7,0,1,1,0,0,0,0,848.16,0,0,848.16,0,0,848.16,229.94,5.82,1281.12,0,0,848.16,1168.07,379.27,2725.9,694.06,143.13,2028.34,1167.6,379.12,2724.8,928.38,252.95,2377.02,1399.6,513.63,3046.35,693.8,143.08,2027.59,693.8,143.08,2027.59,230.4,5.83,1283.7,230.4,5.83,1283.7,230.4,5.83,1283.7,230.4,5.83,1283.7,0,0,848.16,0,0,848.16,230.14,5.83,1282.25,230.33,5.83,1283.3,229.96,5.82,1281.23,229.96,5.82,1281.23,0,0,848.16,0,0,848.16,230.34,5.83,1283.37,0,0,848.16,0,0,848.16,0,0,848.16,0,0,848.16,229.92,5.82,1281.05,461.73,55.92,1667.91,461.73,55.92,1667.91,230.6,5.84,1284.81,231.13,5.85,1287.78,0,0,848.16,0,0,848.16,461.57,55.9,1667.34,461.57,55.9,1667.34,0,0,848.16,0,0,848.16,230.14,5.83,1282.27,230.14,5.83,1282.27,0,0,848.16,22610.98,16886.96,29651.3,0,0,848.16,229.92,5.82,1281.05,689.77,142.25,2015.79,1163.91,377.92,2716.19,461.57,55.9,1667.34,1635.66,657.62,3370.09,0,0,848.16
